"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","30-Oct-2017","       3300.15","       3310.70","       3323.90","       3275.00","       3280.00","       3282.20","       3293.83","     139317","           458886573.35","      14270","      65767","         47.21"
"BAJAJ-AUTO","EQ","31-Oct-2017","       3282.20","       3270.05","       3296.00","       3250.45","       3260.00","       3257.10","       3270.33","     195420","           639086973.35","      14840","      92101","         47.13"
"BAJAJ-AUTO","EQ","01-Nov-2017","       3257.10","       3270.00","       3293.95","       3229.85","       3255.00","       3239.75","       3263.26","     282258","           921082006.25","      14570","     147898","         52.40"
"BAJAJ-AUTO","EQ","02-Nov-2017","       3239.75","       3277.00","       3278.00","       3216.55","       3218.00","       3241.10","       3257.35","     199530","           649939074.00","      14779","      72166","         36.17"
"BAJAJ-AUTO","EQ","03-Nov-2017","       3241.10","       3228.00","       3254.00","       3211.00","       3223.35","       3217.45","       3231.26","     183308","           592315415.20","      13516","      55474","         30.26"
"BAJAJ-AUTO","EQ","06-Nov-2017","       3217.45","       3211.00","       3244.50","       3199.00","       3202.00","       3209.85","       3224.60","     154249","           497390753.15","       9809","      81922","         53.11"
"BAJAJ-AUTO","EQ","07-Nov-2017","       3209.85","       3239.00","       3239.00","       3146.05","       3161.15","       3161.65","       3170.28","     281480","           892371104.65","      20603","     159335","         56.61"
"BAJAJ-AUTO","EQ","08-Nov-2017","       3161.65","       3174.90","       3211.15","       3162.80","       3192.00","       3189.05","       3190.51","     250148","           798099625.10","      22572","     159367","         63.71"
"BAJAJ-AUTO","EQ","09-Nov-2017","       3189.05","       3197.95","       3216.90","       3192.05","       3208.00","       3200.00","       3202.64","     267945","           858130960.55","      17589","     170580","         63.66"
"BAJAJ-AUTO","EQ","10-Nov-2017","       3200.00","       3200.00","       3275.00","       3181.45","       3266.00","       3253.35","       3236.24","     416184","          1346870318.20","      24176","     242748","         58.33"
"BAJAJ-AUTO","EQ","13-Nov-2017","       3253.35","       3268.00","       3282.70","       3215.10","       3222.00","       3223.00","       3242.43","     246148","           798118101.75","      22580","     141267","         57.39"
